predicted_answer,actual_answer,사고원인,인적사고
"인양작업 시 작업자들의 안전 교육 강화 및 불안전 행동 감시 체계 구축, 갱폼 이동 경로 사전 확인 및 안전 표시 설치, 작업 전 철저한 위험성 평가 실시로 재발 방지. 추가 조사 결과에 따라 즉시 조치 계획 수정 및 보완 예정.",불안전행동 관리로 작업구역 내 작업지휘자 구분 배치와 작업방법 확인 및 근로자 불안전한 행동 밀착 관리가 포함된 조치 계획.,"1001동 15층 외벽갱폼을 해체하여 16층으로 인양 중 옆 갱폼으로 이동 중이던 재해자의 불안전 행동으로 인하여 끼임사고가 발생한 것으로 추정되나 현재 조사중에 있음.(고용노동부, 산업안전보건공단 사고원인 조사중)",끼임
정기적인 안전 교육 강화와 작업 절차 준수 점검 실시.,안전교육 실시 계획.,작업자의 단순과실,기타
향후 의사소통 체계 개선 및 안전 교육 강화를 통해 사고 재발 방지.,안전관리교육 철저와 근로의 산재보험 처리 및 현장 안전교육 철저 지도를 통한 재발 방지 대책.,항공마대 손잡이를 들고 있던 작업자와 굴삭기 기사 근로자간 의사소통 부재로 인해 집게에 협착되는 사고 발생,끼임
협착 방지 교육 강화 및 작업 공간 점검 주기 단축.,안전교육과 안전관리의 철저함.,협착,끼임
"작업 전 비계 수평재 고정장치 점검 및 보강, 작업 중 안전 감독 강화로 위험 요소 실시간 모니터링 및 즉시 조치 실시.","재발 방지 대책과 향후 조치 계획의 통합으로 벽체 외측면에서 자재 양중과 작업자의 수신호 정확한 실시를 위한 TBM 교육, 산업재해보험 처리 및 안전교육 강화가 포함된 조치.",벽체 거푸집 마감작업을 위해 각파이프를 수직으로 세워 하부에서 상부로 전달중에각파이프가 기설치된 비계 수평재를 치면서 자재가 탈락됨탈락된 수평재가 낙하되어 하부근로자의 윗입술부위를 가격한 재해임,물체에 맞음
"안전교육 강화와 정기적인 안전 점검 실시를 통해 재해자의 안전 의식 제고 및 작업 방법 개선, 관리감독 강화로 재발 방지 대책을 마련하고, 향후에는 안전 점검 체크리스트 도입과 지속적인 감독 훈련을 실시할 계획입니다.","TBM 활동 강화, 잠재적인 발굴운동 실시, One Point 위험예지훈련 실시, 해체 작업시 원도급사 담당직원의 직접 감시 및 통제 관리감독 참여, 개인보호구의 정확한 착용, 해체작업시 작업계획서에 따른 작업실시, 관리감독자의 해당작업에 대한 철저한 감독, 작업자의 안전에 대한 의식전화 및 교육 철저.","재해자의 무의식적 습관적인 행동(안전모의 턱끈조임상태 불량), 근로자의 불안전한 행동, 해체작업시 작업방법의 부적절, 관리감독자의 지도, 감독 부족",물체에 맞음
"안전 교육 강화와 함께 작업 전 안전 점검 절차 엄격히 시행하며, 멍에재 고정 장치 개선 및 정기적인 점검 실시.","가시설 및 기타 공정에 대한 일제조사와 결속력 재확인, 안전관리 만전.",벽체 거푸집을 해체 작업중 상부의 멍애재가 떨어짐,물체에 맞음
비계 발판의 평탄성 점검 강화 및 근로자에게 안전 이동 경로 교육 실시.,단차 주의 표지 부착과 근로자 교육 실시를 통한 재발 방지 대책.,비계 위에서 용접선 당김 보조업무 후 이동 중 비계 발판 단차에 걸려 넘어지면서 왼손을 바닥에 짚음,넘어짐(물체에 걸림)
작업 전 자세 교정 교육 강화 및 락볼트 운반 시 적절한 도구 사용 의무화.,중량물 취급 작업 시 올바른 들기 자세에 관한 교육 실시 및 관리와 작업 시작 전·후 스트레칭 및 중간 중간 몸 풀기.,부자연스런 자세에서 무리한 힘을 사용하여 물건(락볼트)를 듬.,질병
전동드릴 사용 시 적절한 작업 자세 교육 강화 및 보조손잡이 사용 의무화,전동드릴 비트 끼임 발생 시 자동으로 작동을 멈추는 ATC전동드릴로의 교체 실시.,전동드릴 사용시 불편한 작업자세로 작업 및 전동드릴 보조손잡이 미사용으로 전동드릴이 쉽게 회전됨,끼임
안전 교육 강화와 작업 절차 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,안전 교육 실시를 통한 사고 재발생 방지 대책.,거푸집 고정을 위한 작업,부딪힘
비계 구조 안전성 정기 점검 강화 및 작업자 안전 교육 의무화 실시.,작업자에 대한 안전교육 실시와 건설사업관리단 및 시공사에 대한 안전교육 실시의 철저함.,"지상4층 내부, BT비계 높이 1.8M에서 견출작업을 마치고 물통을 하부로 내리는 중에 비계 한쪽 난간이 분리되면서 바닥으로 추락한 사고 발생",떨어짐(2미터 미만)
안전 교육 강화와 작업 중 안전 장비 착용 의무화를 통해 재발 방지할 계획임.,작업전 안전사고 주의 교육과 작업자를 대상으로 한 안전교육 실시 및 관리 철저.,점심을 먹기 위해 건설기계 하차 중 발을 헛디뎌 사고 발생,넘어짐(미끄러짐)
안전 교육 강화와 현장 점검을 통한 유리 잔재물 제거 의무화 및 통제구역 관리 강화로 재발 방지.,"사고 원인 조사 및 재발 방지 대책 수립, 관련 종사 근로자 특별 교육 실시, 유사 공정 근로자 보호구 착용 조치, 현장 모니터링 및 안전 지도 방문 실시.",1. 창틀에 깨진 유리 잔재물을 인지 못하고 미제거 상태에서 제거 작업 실시2. 철거 작업중 통제구역 임의 출입,"절단, 베임"
공구 사용 교육 강화 및 안전 점검 시스템 도입으로 부주의를 최소화하고 사고 예방.,"공사 사용 시 안전 사용 방법 교육과 불안전한 행동 금지를 철저히 하며, 작업 전 공구 사용 안전 작업 방법 교육 및 수시 확인을 실시하는 방안.",근로자의 공구사용 부주의,"절단, 베임"
중량물 운반 시 적절한 보조 도구 사용과 앉았다 일어서는 동작 최소화 교육 실시.,작업 시작 전 준비운동 철저와 안전교육 강화를 통한 동일 사고 발생 방지.,석재 마감공사를 위해 지상에서 자재를 운반하던 중 앉았다 일어나는 과정에서 왼발 종아리 근육 파열,기타
"안전교육 강화와 함께 계단 주변의 미끄럼 방지 장치 설치 및 정기적인 안전 점검 실시를 통해 재발 방지 대책을 마련하고, 향후 모든 계단 이용 시 안전 수칙 준수를 의무화합니다.",안전교육 시 계단 미끄럼 주의 교육 및 계단 벽면 미끄럼 주의 안내문 부착.,안전교육장에서 계단 내려오다가 미끄러지며 넘어짐(단순 타박상),넘어짐(미끄러짐)
안전난간대 설치 시 적절한 간격 유지 교육 강화 및 정기적인 안전 점검 실시 계획 수립.,"직영근로자 특별안전교육 실시와 관리감독 강화, 사고내용 전파 및 재발방지 대책 교육 실시.",안전난간대 설치간격 조정을 위해 안전난간대를 뽑는 과정에서 무리한 동작으로 왼쪽 발에 과다한 체중이 실림,분류불능
안전교육 강화와 정기적인 작업 현장 점검 실시로 미끄러짐 위험 요소 제거 및 개인 보호장구 착용 의무화.,공사장 안전 조치 및 교육 권고에 대한 재발 방지 대책과 향후 조치 계획.,"000(19**.1.*.)골절상, 타박상신세계정형외과 2주벽돌을 운반하시다가 발을 헛디뎌 넘어지시며 얼굴, 머리 뒷부분, 다리 정강이를 다침",넘어짐(미끄러짐)
작업자 안전장비 착용 의무화 및 미끄러짐 방지 장치 설치 검토. 정기적인 안전 교육 강화 및 현장 위험 요소 점검 실시.,작업간 안전수칙에 대한 특별안전교육 추가 시행을 통한 재발 방지 대책 마련.,오수관로 매설구간  사면부에 있던 관 부속자재(소켓)가 미끄러지는 것을 작업자가 발견하고 떨어지지 않게 잡으려고 하다 손등과 자재가 부딪힘,부딪힘
"안전 교육 강화로 작업자들의 주의력 향상, 말비계 주변 안전 경계 설치 및 정기적인 안전 점검 실시로 위험 요소 사전 제거.","작업 지휘자 배치, 고소작업 전 안전교육, 말비계 발끝막이판 안전 재점검을 통한 재발 방지 및 향후 조치 계획.",말비계 탑승 및 이동 중 발을 헛디뎌 말비계 틈새에 부딪혀 재해 발생함.,부딪힘
작업장 내 장애물 표시 강화 및 안전 교육을 통해 작업자들의 인지력 향상시키기. 정기적인 안전 점검 실시로 잠재적 위험 요소 사전 제거.,"계단 및 바닥 자재 및 호스 정리, 근로자 안전보건교육, 관리감독자의 안전관리 및 감시, 작업 전후 정리정돈, 협력업체 안전교육, 현장 자재정리 철저 및 근로자 이동통로 확보, 안전관리 점검의 실시.",계단통로에 연결 되어있는 양수기 호스를 인지하지 못하고 걸려 넘어짐.,넘어짐(물체에 걸림)
작업 전 안전장비 착용 강제화 및 정기적인 장비 점검 실시 계획 수립.,작업인부 안전교육 실시와 준공완료를 통한 재발 방지 대책.,2층내부에서 판넬에 전동드릴로 구멍을 뚫던중 드릴기리가 파손되면서 전동기를 놓치면서 오른손 엄지손가락이 드릴기리에 찔린 사고,찔림
"안전 교육 강화와 정기적인 안전 점검 실시를 통해 근로자의 부주의로 인한 사고 재발 방지 대책을 마련하고, 사고 발생 시 즉시 작업 중단 및 원인 분석을 실시하여 개선 조치를 취할 계획입니다.",교육 실시를 통한 안전 확보.,근로자의 부주의,넘어짐(물체에 걸림)
작업 전 철저한 현장 점검 의무화 및 안전 교육 강화로 재발 방지 대책 수립.,작업 중 주위환경 및 상황 확인 철저와 2인 공동 작업 시 원활한 의사소통을 위한 안전교육 실시 및 관리감독자 배치.,작업 중 주위환경 미 확인,넘어짐(물체에 걸림)
작업 현장의 강설 시 즉시 빙판 제거 장비 투입 및 안전 매트 설치 의무화. 정기적인 현장 점검 강화 및 근로자 안전 교육 실시.,일일 위험 예지 활동 강화와 기계설비공사 말비계 고소작업 특별 안전교육 추가 실시.,강설로 인한 현장 지하1층 빙판 발생,떨어짐(2미터 미만)
작업자 안전 의식 강화 교육과 더불어 작업 절차 개선 및 정기적인 안전 점검 실시 계획 수립.,전 근로자 안전교육 재실시와 현장 수시점검을 통한 불안전 행동 시정 지시.,단순반복 작업 중 작업자의 단순 실수로 인한 끼임사고,기타
정기적인 건강 검진 실시 및 작업 자세 교정 교육 강화.,"단차구간에 승강 답단 설치와 작업 전 몸풀기 철저, 작업 전 안전교육 철저 및 정기적 근로자 안전교육 시행을 통한 재발 방지 대책.",먹매김 작업진행 중 단차구간에서 왼쪽 무릎 통증으로 병원 내원,질병
"불안정한 시설물에 대한 정기적 점검 강화와 즉시 보수 조치를 도입하며, 작업자들에게 위험 인식 교육을 실시하고 안전모 착용 의무화를 통해 안전 의식을 고취시킵니다. 또한, 작업 종료 후 안전 점검 체크리스트를 활용한 철저한 현장 점검을 의무화합니다.","현장대리인, 현장소장 및 작업자를 대상으로 한 안전교육 실시와 현장 합동 안전점검(수시 및 정기) 수행, 작업 중 안전시설물 철거 시 감독기관 및 안전관리자에 사전 통보, 안전관련 사항 작업자에 대한 일일 공지 실시.","2021. 4. 14. 16시경 한밭대학교 기숙사 분리수거장 증축공사 현장에서 토목공사 작업자가 작업종료 후 정리 및 복귀하는 과정에서 우수맨홀 뚜껑(덮개)이 불안전(이탈)한 상태를 인지하지 못하고 그 위를 밟고 지나가다 맨홀(안) 아래로 떨어짐(추락), 당초 평시에는 사고방지를 위해 뚜껑(덮개)을 설치하였으나 작업과정에서 뚜껑(덮개)이 이탈한 것으로 보임",떨어짐(2미터 이상 ~ 3미터 미만)
"안전 교육 강화와 자동원형톱 사용 시 안전 수칙 준수 교육 실시, 보호장구 착용 의무화 및 정기적인 안전 점검 실시.",건설근로자 안전교육 강화와 안전 순찰활동을 통한 사고 재발 방지 대책 수립 및 원만한 사고처리 협조.,다목적강당 바닥 플로어링 설치를 위하여 자동원형톱을 이용하여 목재 절단작업 중 작업자 부주의로 손가락 손상 상해 발생,"절단, 베임"
계단 표면 미끄럼 방지 처리 강화 및 정기적 청소 점검 실시.,작업자 안전관리 철저에 대한 재발 방지 대책과 향후 조치 계획.,생활쓰레기를 버리러 폐기물박스 가설 철제 계단을 오르던중 미끄러져 넘어짐,넘어짐(미끄러짐)
"안전교육 강화 및 개인 안전장구 착용 의무화, 작업 현장의 미끄러짐 위험 요소 제거 및 시스템 발판 안정성 점검 실시.",시스템 비계 난간대 보안 및 작업자 안전교육 실시를 통한 재발 방지 대책 마련.,일용근로자 박00(조적공)이 시스템발판위에서 이동중 발이 미끄러져서  건물과 시스템비계 사이로 낙상한 사고임,떨어짐(2미터 미만)
자재 고정 장치 강화 및 운반 작업자에게 미끄러짐 방지 교육 실시.,작업자 안전교육 실시를 통한 재발 방지 대책 마련.,자재운반 중 자재가 미끄러짐,끼임
"작업자 안전 교육 강화와 사다리 사용 시 안전 수칙 준수 점검 실시, 안전 발판 설치 및 작업 공간 확보 개선.","근무자 안전수칙 강화와 철저한 안전교육 실시, 사다리작업 시 아웃리거 설치 및 안전벨트 준수, 사고 발생 시 안전관리자에게 즉시 알리기.",천장 퍼티작업을 위해 사다리에 올라가서  오른발이 사다리 끝에 걸려 넘어지면서 왼쪽 무릎이 사다리에 끼어 꺾이는 사고 발생,끼임
"작업 전 안전 교육 강화와 가연성 물질 관리 지침 엄격히 준수하며, 개인 보호 장비 착용 의무화로 재발 방지 대책 마련. 정기적인 안전 점검 실시와 사고 대응 훈련을 통해 위험 요소 사전 식별 및 대응 체계 구축.",사고 예방을 위한 현장 안전관리 철저 및 작업자 안전관리 교육 실시.,공사 시작전 몸을 녹이고자 주변 자투리 등을 태우다가 라카스프레이가 터져 화상을 입음,화상
"작업자 안전 교육 강화와 현장 안전 점검 주기 확대, 휀스 구조물의 안정적 이동 경로 확보 및 보호 장치 설치 의무화.","시인성 확보를 위한 잡업통로 확보, 근로자 안전교육 실시, 공사현장 안전시설물 설치 및 안전교육과 현장 안전관리 강화가 포함된 재발 방지 대책.",휀스 자재 이동 작업 중 콘크리트 구조물에 걸려 휀스가 접히면서 잡고있던 손가락이 휀스 살에 끼임,부딪힘
안전 교육 강화와 호이스트 탑승구 주변 안전 장치 설치로 재발 방지.,해당 작업에 대한 특별 교육 및 작업절차 철저 준수.,오피스텔 17층 호이스트에서 자재 운반용 대차로 합판 운반 중 대자차 넘어지며 호이스트 탑승구와 합판사이에 손목이 끼임,끼임
작업 구역 분리 및 안전 경계 설치를 통해 굴착기 작업과 인력 작업 간 충돌 방지 강화. 정기적인 안전 점검 및 교육 실시로 인식 제고.,장비 작업구간 인근 근로자 출입통제와 안전교육 및 현장관리 철저에 대한 재발 방지 대책.,굴착기 작업 인근에서 인력작업,물체에 맞음
작업자 교육 강화와 수직 보양재 고정 장치 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,슬라브 단부에 자재 야적 금지를 통한 낙하물 발생 위험 예방 및 상하부 작업 공정 관리.,2층 작업자가 합판 묶음 밴딩끈을 풀면서 수직 보양재가 탈락/낙하되는 것을 예측하지 못함.,넘어짐(기타)
안전 교육 강화 및 정기적인 안전 점검 실시.,"작업 전 체조 실사 후 TBM 실시와 안전교육 실시, 무리한 작업 제한 등 근로자 대상 특별안전교육 실시를 통한 재발 방지 대책 마련.",중량물 운반 작업 안전관리 부족,기타
안전 교육 강화 및 개구부 표시 시스템 도입으로 작업자의 인식 제고 및 위험 관리 체계 개선.,"안전난간 및 안전표시 설치, 핸드레일과 시건장치 설치, 감리단과 시공사의 현장 점검, 시공 전 안전시설물 확인 및 아침 조회를 통한 위험성 전파, 2인 1조 작업, 수시 안전순찰 실시.",작업자가 개구부 위치를 정확히 인지하지 못하여 3.0m하부로 추락,떨어짐(분류불능)
"안전 교육 강화와 함께 작업 절차 재검토 및 개선, 위험 요소 제거 및 안전 시설 추가 설치를 실시하며, 작업자들에게 개인 보호 장비 착용 의무화와 함께 위험 부위에 대한 접근 제한 조치를 취함으로써 재발 방지에 나설 것입니다.",손가락 협착 방지를 위한 개인보호구(안전장갑) 착용 여부 작업 전 확인 및 동종재해 재발 방지를 위한 재해 발생 사례 전파와 작업자 안전교육 실시.,"수직재 간격을 맞추기 위해 수직재의 다른 부위를 잡을 수 있었음에도, 손가락 협착 가능성이 있는 수평재 고정핀 부위를 파지한 상태에서 발끝으로 일시적으로 강하게 수직재를 밀침으로써 수직재 간격을 맞추려고 하다가 왼손 약지가 수평재 고정핀과 수직재 사이에 협착됨.",끼임
"안전 발판 설치 및 작업자세 교육 강화를 통해 불안전한 자세 방지, 작업 절차 엄격히 준수하도록 관리 체계 개선.",근로자 안전의식 결여로 인한 재해 발생 방지를 위한 주기적 및 수시 교육과 정기 안전보건교육에서의 사고사례 전파 및 관리감독자 작업지휘 실시.,트레일러 상부에서 고임목을 하부로 하역 중 불안전한 자세로 작업편의상 차량하부로 던지면서 중심을 잃고 떨어짐.,떨어짐(2미터 미만)
"근로자들에게 정기적인 안전 교육을 강화하고, 작업 전 위험성 평가를 의무화하여 부주의로 인한 사고를 예방하며, 사고 발생 시 즉시 대응 매뉴얼을 업데이트하고 점검합니다.",2인1조 교육 및 작업 철저에 따른 향후 조치 계획으로 교육 철저.,근로자 부주의,끼임
"호이스트 발판의 안전 장치 강화 및 작업자 안전 교육 강화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 안전 절차 준수 의무화를 향후 조치로 실시합니다.",작업환경 수시점검 및 근로자 안전교육 등 현장관리 철저.,호이스트 승강장 입구에서 세대청소를 위해 호이스트를 탑승하기 위하여 호이스트 발판을 내리던 중 발판에 연결된 로프를 잡던 손에 힘이 풀려 발판이 재해자의 좌측 정강이를 타격함,물체에 맞음
"시스템 기둥 주변 안전지대 설치 및 경고 표시 강화, 자재 이동 시 안전 교육 의무화 및 감독 강화, 사고 부위에 대한 즉시 보수 및 안전 점검 실시.","작업공간 및 이동통로 확보, 근로자 자재 운반 시 시야 확보 관련 안전교육과 위험성 평가 실시, 작업장 정리정돈 상태 및 이동통로 확보 상태 수시 점검.",자재정리 작업을 진행 중 자재를 안고 이동 중에 시스템 기둥에 발이 걸려 넘어지면서 시스템 기둥 하단 조절 날개에 부딪혀 우측 귀 연골이 찢어지고 우측 어깨쪽 회전근계 파열 사고.,넘어짐(물체에 걸림)
향후 지반 상태 점검 강화 및 안전 교육을 통해 작업자의 지반 인식 능력 향상시키기로 함.,바닥면 미끄러짐 방지 테이프 설치와 사고 경위 전달 후 안전 조치 철저 이행 통보.,작업자가 이동 중 지반상태 불량으로 발목을 접질림.,넘어짐(기타)
"비계 설치 후 철저한 안전 점검 의무화, 작업자에게 안전 교육 강화하여 발판 위 작업 시 주의사항 인지시키고, 작업 중 안전 감독 강화로 위험 상황 즉시 대응 체계 구축.",비계작업 시 안전고리 착용 교육 실시와 수시 현장 확인을 통한 안전 교육 실시 여부 확인.,비계공이 강관비계 설치 작업 후 수직보호망 설치작업 도중  비계 1단(약 1.8m 높이) 발판위에서 중심을 잃고 2층바닥으로 추락,떨어짐(2미터 미만)
"작업자에게 정기적인 스트레칭 및 휴식 시간 제공 강화하고, 작업 도구의 인체공학적 개선을 추진하며, 작업 자세 모니터링 시스템 도입으로 지속적인 자세 교정 유도.",산업재해보상보험 요양·보험 급여신청에 대한 재발 방지 대책 및 향후 조치 계획.,"거푸집, 서포트, 슬라브, 드릴 작업 등에서 어깨의 진동, 지속적 거상동작 및 강한 긴장이 유발되어 발생된 것으로 추정 됨",기타
"작업 시 안전대 착용 의무화 및 관리자의 지속적인 현장 감독 강화, 영구적인 보호망 설치 및 작업 절차 개선 교육 실시.","안전보호망 개구부 전면 방호용 교체와 작업자 안전교육 실시, LH경기 안전관리단의 안전사고 확인 및 점검, 노동부 및 국토부의 현장 조사 후 LH본사 안전기획실의 안전점검 및 사고조사 예정.","사고부위는 호이스트 위치로 견출작업을 위해 임시로 1.2m 수직보호망을 설치해놓은 상태였으며,  안전대 착용 및 관리자 배치했어야 함.",떨어짐(10미터 이상)
간이사다리 사용 시 안전 교육 강화 및 고정 장치 설치 의무화를 통해 재발 방지. 정기적인 안전 점검과 안전 시설물 점검을 실시하여 안전성 확보.,작업자들에게 장비 하차 및 현장 이동 시 미끄러짐으로 인한 넘어짐과 추락에 대한 주의와 산업재해 처리를 위한 협조 계획.,현장내 주차공간 협소로 현장외부 안전지대에 주차 후 적재된 자재 고정상태 확인 후 하차하는 과정에서 간이사다리에서 미끄러져 사고 발생.,넘어짐(기타)
작업 구간 확보 및 안전발판 설치 의무화를 통한 재발 방지 대책 및 향후 조치 계획 수립.,"석고보드 교체작업 시 충분한 작업구간 확보와 작업발판 설치, 특별교육 실시, 작업방법 주지 및 숙련공 배치, 관리감독자의 철저한 관리점검이 포함된 재발 방지 대책과 향후 조치 계획.",석고보드 교체작업시 작업자의 충분한 작업구간 및 작업발판 미흡,물체에 맞음
안전 교육 강화와 함께 작업 전 철근 상태 점검 절차 도입 및 안전 장비 사용 의무화로 재발 방지.,사고사례 전파 및 작업자 안전 교육 철저와 진료 결과 경과 관찰을 요하는 상태로 3주 뒤 경과 확인(MRI) 예정.,재해 근로자가 상부 철근 조립 중 기존 부착된 철근이 휘어져 바로 잡는 중 뒤로 넘어져 아래로 떨어짐,떨어짐(분류불능)
"작업자 교육 강화와 안전장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 향후에는 정기적인 안전 점검과 감독 체계를 구축할 계획입니다.","작업방법 및 운반방법, 안전작업방법에 대한 교육 실시와 근로자 교육 및 작업전 몸풀기로 개선된 재발 방지 대책.",합벽지지대 설치를 이해 자재를 운반중 무릎으로 자재를 가격하여 상해를 입음,부딪힘
안전교육 강화와 작업발판 및 바닥 상태 점검을 통한 재발 방지 대책 및 향후 조치 계획 수립.,적치물 제거와 안전 교육 및 안전 관리에 유념한 시공 계획.,철군 조립작업을 하고 작업발판위에서 내려어돈중 바닥에 있던 철근위에 찔림,찔림
작업 종료 시 안전 점검 강화 및 미끄럼 방지 장치 설치 의무화. 정기적인 안전 교육 실시와 현장 모니터링 강화로 재발 방지.,작업자 안전교육 철저와 산재처리의 이행.,작업 종료 후 철수 중 미끄러짐,부딪힘
"안전고리 체결 의무화 및 정기적인 안전 점검 강화, 고소작업 시 안전장비 착용 강제화 및 안전 교육 강화 실시.","고소작업자에 대한 특별교육 실시와 개인보호구 착용상태 확인, 안전대 부착설비 설치 완료 후 작업 실시를 통한 재발 방지 대책 및 관리감독자 상주 하에 작업 진행 계획.",고소작업시 안전고리 미체결 상태로 이동중 미끄러지면서 추락,떨어짐(5미터 이상 ~ 10미터 미만)
"작업 공간 확보 및 안전 통로 설치 의무화, 정기적인 안전 점검 실시.",카고크레인 자재 적정량 적재 및 작업자 동선 확보와 협소한 지역에서 실시되는 작업에 대한 특별 안전교육 실시의 이행 확인.,카고크레인 표지판자재 적재로 인한 상부공간 협소 및 작업자 이동통로 확보  부적정(원형지주 상부로 이동),떨어짐(2미터 이상 ~ 3미터 미만)
자재 고정 장치 강화 및 작업자 안전 교육 실시.,자재 이동 전 작업자 간 안전 작업 방법 회의 및 상호 유기적인 소통 필요성과 사고 발생 현장에 대한 공사장 점검 강화.,상부에서 하부로 자재를 내려받다가 하부에서 받던 재해자가 자재를 잡은 손에서 자재가 미끄러지며 가슴에 부딛힘,부딪힘
작업자 안전 교육 강화와 현장 바닥 상태 점검 및 보강을 포함한 재발 방지 대책과 향후 조치 계획 수립.,"작업자 내 이동 동선 최소화, 철근 시공 부위의 바닥 평활성 부족으로 인한 위험에 대한 안전모 착용 및 서행 이동 지시, T.B.M 시 전도 발생 위험 요인에 대한 추가 교육 실시, 작업장 내 이동 시 안전모 착용 및 관리자의 입회 하에 작업 실시.",철근배근중의 바닥이 평활하지 못해 시공된 철근에 발이걸려 균형을 잃어 앞으로 넘어짐,넘어짐(물체에 걸림)
임시 설치물에 대한 안전 표시 강화 및 정기적인 점검 실시 계획 수립.,현장 내 사고원인 제거를 위한 관리 철저와 지속적인 작업자 교육.,작업을 위하여 임시로 설치한 못에 걸려 넘어짐,넘어짐(물체에 걸림)
"안전 교육 강화와 철저한 안전장구 착용 의무화, 작업 감독 강화를 통한 지속적인 주의 환기 실시.",작업자 안전관리 교육과 작업환경 관리의 철저함.,작업자 부주의,물체에 맞음
안전 교육 강화 및 정기적인 안전 점검 실시로 작업자 부주의 재발 방지.,개인보호구 조치 강화 및 안전교육 지속 실시와 검진 이후 수술 여부 판단 예정.,작업자 부주의로 인한 사고,떨어짐(2미터 미만)
"작업 전 구배 관리 교육 강화와 현장 점검을 통한 구배 준수 확인을 통해 재발 방지 대책을 마련하고, 향후 정기적인 안전 점검과 구배 관리 시스템 개선을 실시합니다.",원형맨홀 관부설 작업 시 터파기 구배 준수와 작업 및 안전 관리 철저.,터파기 구배 미준수하여 터파기 법면에 토사가 밀려나면서 토사덩어리가 재해자 등을 가격한 사고임,물체에 맞음
"안전장비 착용 의무화와 절단기 회전날 상태 정기 점검 강화, 작업자에게 안전 교육 실시 및 작업 전 안전 점검 절차 엄격히 준수하도록 관리 강화.","불안전한 상태에서의 작업 중단과 작업 전 안전교육, 개인보호구 착용 및 안전 시설물 조치 확인을 통한 안전한 작업 환경 조성.",파트너(절단기) 회전날이 콘크리트에서 튕기면서 손목을 베임,"절단, 베임"
"안전 교육 강화와 작업 전 안전 점검 절차 도입, 특히 낙하 위험 물체에 대한 고정 및 경고 표시 설치를 통해 재발 방지. 또한, 작업 중 개인 보호 장비 착용 의무화 및 실시간 안전 모니터링 시스템 구축 계획 수립.",현장 관계자 안전관련 교육 실시.,"거푸집 해체작업중 천정에 붙어 있는 각재를 해체하기 위하여 말비계 위에 올라가 빠루로 각재에 틈을 만들고 해체하던중 각 파이프에 힘을 가한 방향으로 퉁겨 나갔고 순간적으로 놓으면서 각 파이프가 기설치된 소방배관과 충돌 후 낙하하자 재해자가 피하다가 바닥에 있는 인코너 판넬에 걸려 넘어지려고 하여 벽에 쌓아놓은 유로폼에 손을 집었으며, 그 순간 낙하한 각 파이프가 재해자의 오른손 세번째 손가락 중지 앞 부분을 강타한 재해임",물체에 맞음
안전 교육 강화 및 개인 보호 장비 착용 의무화,동종재해 예방을 위한 특별안전교육 실시 및 향후 조치 계획 수립.,이어폰 등을 끼고 주변 동료와 대화하며 이동하다 전방 주시태만,넘어짐(물체에 걸림)
고소작업 시 안전발판 설치 의무화 및 지하공간 환기 개선을 위한 설비 보강 실시. 정기적인 작업 환경 점검과 근로자 안전 교육 강화를 통해 안전 의식 제고.,"쾌적한 작업 환경 유지와 작업장 내 유해요인 사전 발견 및 조치, 감리 철저와 안전관리자 업무 수행 철저를 통한 동일 및 유사 사고 방지.",벽체에 설치 된 타이핀 제거 작업의 경우 신체에 큰힘이 실리며 2미터 초과된 높이의 작업의 경우 자세가 불안전해져 사고위험이 큼으로 고소작업대를 설치하여 작업을 하여야 한다. 그리고 지하공간으로 환기가 원활하지 않은 상태에서 품등 마감재 작업으로 인한 작업자의 안전성을 저하시키는 요인이 될 수 있어 해당 작업시에는 상시 쾌적한 작업환경이 될 수 있도록 사전 조치가 필요함.,떨어짐(2미터 이상 ~ 3미터 미만)
진흙탕 방지를 위한 방수 매트 설치 및 정기적인 지면 상태 점검 강화.,"작업 전 안전교육을 통한 위험요인 제거 및 감소, 바닥정지작업 실시, 상시 안전주의 인식 및 감소방안 조치, 장비 및 위험요소의 사전 제거 및 안전 조치.","사고 전,당일 비가 온 상태여서 땅이 진흙탕이 되어 장비 전도 사고를 방지하기 위해서  입구 초입에 철판을 두었던게 진흙탕이 되었다보니 살짝 들리는 현상",깔림
"안전 교육 강화와 함께 작업 시 개인 보호 장비 착용 의무화 및 안전 감독 강화를 통해 재발 방지 대책을 마련하고, 향후 모든 해체 작업 전에 위험 평가를 실시하여 안전 조치를 사전에 마련할 계획입니다.",안전교육 철저 및 작업 전 근로자 건강상태와 안전보호구 착용상태 사전 점검을 통한 개인보호구 착용 및 작업방법 준수.,1.8m 높이에서 거푸집 해체 작업 중 거푸집과 같이 떨어짐,떨어짐(2미터 미만)
"지반 안정성 강화를 위한 주기적인 지반 점검과 보수 작업 실시, 우기철 대비 사전 지반 보호 조치 마련 및 작업자 안전 교육 강화.",작업자 안전교육 실시와 하역작업 시 지반상태 점검 및 공사용 가도 지반 보강 실시 예정.,그동안 우기철로 인해 공사용 가도의 지반상태가  약해진 것으로 판단,없음
