predicted_answer,actual_answer
"안전교육 강화와 안전장비 착용 점검을 엄격히 실시하며, 작업 전 자재 상태 점검 의무화.",작업자 안전교육 실시와 근로자 안전지도 철저를 통한 재발 방지 대책.
"작업 구역 내 모든 자재 철저히 정리하고, 안전 경계 설치하여 작업자 동선과 자재 사이의 충돌 방지. 정기적인 안전 점검 실시.","근로자 진입동선을 고려한 승강통로 설치, 근로자 특별안전교육 실시 및 TBM 시 위험요인 전파, 통로 구획 설정 및 작업 후 정리정돈을 통한 불안전 상태 개선, 동바리 설치 및 해체 시 근로자 이동통로 추가 확보, 계단식 동선과 수직형 동선 설치에 대한 운용방법 전파, 유형별 작업동선 확보 및 구획 설정, 정리정돈 실시, 공사 및 안전담당자 상시 점검을 통한 불안전 행동 및 상태 관리."
안전 장갑 착용 의무화 및 작업 전 안전 교육 강화로 재발 방지.,안전교육 실시를 통한 재발 방지 대책 및 향후 조치 계획.
"안전교육 강화와 함께 미끄러짐 방지용 바닥 처리 및 안전그물 설치를 의무화하고, 작업 전 안전점검을 엄격히 실시하여 위험 요소를 사전에 제거하며, 작업자들에게 개인 보호장구 착용을 강제화합니다. 또한, 작업 현장에 명확한 경고 표지판을 설치하여 위험 구간을 인지시키고, 정기적인 안전 점검과 감독 체계를 구축합니다.",작업자 대상 안전교육 강화와 안전시설물 설치 강화를 통한 재발 방지 대책.
"안전 교육 강화와 개인 보호 장비 사용 의무화를 통해 재발 방지하고, 정기적인 안전 점검과 위험 요소 식별 시스템 구축으로 향후 사고 예방 계획 수립.","안전보건 교육을 통한 사고사례 전파와 일일단위 작업전 TBM을 통한 작업자세, 작업동작, 주의사항 교육 철저를 통한 동종재해 예방."
"안전교육 강화 및 개인 보호 장비 착용 의무화, 작업 전 안전 점검 실시.",꾸준한 안전교육 및 지도를 통한 안전사고 유의.
안전 교육 강화 및 작업 현장 안전 점검 의무화 실시.,"즉시 되메우기 및 복구와 보험사 협의를 통한 피해자 구제, 현장 보행자 통행로 확보로 보행인의 안전한 통과 보장."
안전 교육 강화 및 개인 보호 장비 착용 의무화로 재발 방지 대책 수립. 정기적인 안전 점검 실시 계획 수립.,작업자와 근로자에 대한 안전사고 방지교육 철저함.
안전대 걸이의 안정적 고정을 의무화하고 정기적인 점검을 실시하여 재발 방지.,고소작업 시 안전대 걸이 고정 및 작업구간 위험요소 제거와 안전교육 실시를 통한 사고예방.
"안전 교육 강화 및 개인 보호 장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검과 감독 체계를 구축하여 향후 조치 계획을 실행합니다.","위험작업 특별안전교육 및 TBM 실시, 매월 정기안전보건교육 실시, 개구부 추락방지 시설 설치, 안전주의 표지판 및 안전 개구부주의 타포린 설치, 개구부마다 주의식별 표시, 매일 자체안전점검 실시, 현장 순회 점검 철저, 안전시설물 점검, 안전보호구 착용 관리, 매월 합동안전점검 실시의 일환으로 이루어지는 안전 관리 방안."
"안전 수칙 준수 교육 강화 및 정기적인 안전 점검 실시를 통해 재발 방지 대책을 마련하고, 향후에는 모든 해체 작업 시 안전 수칙 준수 여부를 엄격히 감독할 계획입니다.","매일 작업 전 TBM시간 공구 점검 및 주의사항 안전교육 실시, 2인 이상 협력 작업 진행, 지렛대 사용 시 보호캡 사용 지도, 개인보호장구 착용 상태 관리감독자 점검 및 작업관리, 근로자 안전교육 및 현장지도 실시."
"안전 교육 강화와 작업 절차 표준화를 통해 부주의 사고 예방, 정기적 안전 점검 실시.",작업 전 안전사고 사례 전파 및 재발 방지 교육 실시와 안전 교육 강화 요청을 통한 재발 방지 대책 마련.
재해자 조작 교육 강화 및 정기적인 실습 기회 제공.,정규작업자를 포함한 공사현장 모든 작업자에 대한 교육 실시와 교육현황 체크.
안전한 이동 경로 확보 및 미끄럼 방지 매트 설치 강화. 정기적인 안전 교육 실시 및 개인 보호 장비 착용 의무화.,"재발 방지 교육의 철저, 작업 전 준비 운동 및 관리 감독의 철저, 데크 플레이트에 안전 통로 설치, 2인 1조 작업 시 신호 체계 통일이 포함된 조치 계획."
안전 통로의 필수 사용 규정 강화 및 안전 교육 프로그램 확대 실시.,작업자 이동통로 추가 조성과 작업전 안전교육을 통한 안전의식 고취.
임시 고정 장치 강화 및 강풍 대비 작업 절차 개선을 통한 재발 방지 계획 수립.,전근로자 동종재해 발지 특별안전교육 실시.
작업자 건강 검진 강화 및 작업 환경 개선으로 재발 방지.,재발 방지 대책과 향후 조치 계획의 부재.
안전 발판 설치 및 계단 주변 안전 경계 강화 후 정기적인 안전 교육 실시.,작업 중 넘어짐에 특히 주의하도록 안전교육 실시.
"안전교육 강화와 작업 절차 재검토를 통해 작업자 간의 협업과 호흡을 맞추는 훈련을 실시하고, 안전 장비 사용을 의무화하여 재발 방지에 힘쓰겠습니다.",작업자 상호간 충분한 작업 진행절차 논의와 불안전 요소 제거를 통한 충분한 인원 투입.
사고 원인 규명 후 즉시 안전 교육 강화 및 안전 장비 사용 의무화 조치를 취할 계획입니다.,원인 확인 후 조치 예정인 재발 방지 대책과 원인 미상으로 원인 파악 후 조치 예정인 향후 조치 계획.
안전 교육 강화 및 정기적인 안전 의식 제고 프로그램 운영.,작업전 근로자 작업순서 방법 및 유해위험 기계기구 사용방법에 대한 안전교육 실시 후 현장 투입.
안전 발판 설치 의무화 및 작업 공간 확보 강화로 넘어짐 위험 최소화. 정기적인 안전 점검 실시 및 근로자 안전 교육 강화.,근로자 특별안전교육 실시와 작업 지휘자 배치.
"계단 주변의 얼음 및 결빙 상태 정기 점검 강화, 작업자들에게 겨울철 안전 이동 교육 실시, 미끄럼 방지용 바닥재 설치 및 유지 관리 철저히 하기.","작업전 이동통로 및 작업환경 점검, 안전교육 강화와 안전예찰 강화를 포함한 재발 방지 대책."
"안전장비 착용 의무화 및 정기적 안전 교육 실시를 통해 재발 방지 대책을 마련하고, 향후 모든 조립작업 시 파편 방지 장치 사용을 의무화합니다.",유사사고 방지를 위한 실질적인 재발 방지 대책 수립
표준 작업방법 교육 강화 및 수공구 사용 지침 명확히 정립.,수공구 작업 시 올바른 사용법과 사고사례 재발 방지 교육을 포함한 근로자 안전관리 교육 철저 및 현장 안전활동과 순찰 강화 실시.
"협소공간 내 작업 시 안전 통로 확보 및 자재 적재 최소화, 정기적인 통로 점검과 작업자 안전 교육 강화를 통해 이동 동선 확보.","곤돌라 탑승 구간 이동통로 확보 및 자재 적재 시 보행자 통로 확보, 재해 방지 토론회 진행, 작업 방법 교육 실시, 변경점 발생 시 작업 시연회를 통한 추가 위험성 발굴."
"사고 예방을 위해 대차 바퀴 스토퍼의 정기적인 점검과 유지보수 강화를 실시하고, 작업자들에게 안전 교육을 통해 대차 조작 시 주의사항을 인지시키며, 즉시 교체 가능한 부품은 사전에 확보하여 신속한 대응 체계를 구축합니다.",사고사례 전달에 따른 기술인 교육 실시와 현장 대차 전수조사로 노후화된 바퀴스토퍼 및 보양상태 재점검 후 전수교체 실시.
"작업 현장의 지반 안정성 점검 강화, 안전난간 높이 조정 및 추가적인 보호 장치 설치, 고소작업대 사용 시 안전 교육 강화 및 안전 수칙 준수 확인, 정기적인 안전 점검 실시를 통한 재발 방지.","고소작업대 이동구간 지반 단차 부위 흙 되메우기 실시, T/L 내부 구조물 보양, 사고사례 교육 및 부딪힘 사고 예방 교육 실시."
"안전교육 강화와 보안경 착용 의무화를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검 실시 계획 수립.",작업 전 tbm 활동 시 보안경 착용 여부 확인 및 사용 지속 교육과 보안경 착용 및 사용 준수.
고소작업대 안정성 강화 교육 실시 및 정기적인 안전 점검 도입으로 재발 방지.,지속적인 교육 및 현장 여건 개선과 재발 방지 안전교육 강화를 통한 재발 방지 대책.
"안전 교육 강화 및 작업 현장의 명확한 안전 통로 설정으로 전방 주시 의무를 강화하고, 정기적인 안전 점검 실시를 통해 재발 방지.","안전통로 구획 설치와 재발 방지 대책회의 개최, 동종 재해 재발 방지를 위한 사고 사례 전파."
"협소 구간 작업 후 이동 시 안전 교육 강화 및 주의 지시를 명확히 하는 재발 방지 대책과, 작업 후 이동 경로 안전 점검을 정기적으로 실시하는 향후 조치 계획을 마련합니다.",이동 중 주의 교육과 산업재해조사표 제출을 통한 재발 방지 대책 마련.
"안전 발판 설치 및 미끄럼 방지 조치 강화, 작업 중 페인트통 안전한 보관 및 착용 안전장비 의무화.",작업자 안전을 위한 현장 동선 관리와 안전교육 강화 및 주변 정리를 통한 사고 방지 대책.
미끄러짐 위험 지역에 미끄럼 방지 장치 설치하고 정기적인 안전 점검 실시.,"미끄러짐 위험이 있는 곳에 작업자가 올라가지 않도록 주의 및 교육을 철저히 하며, 안전 관리와 근로자 안전 교육을 통해 사고 재발 방지에 힘쓸 계획."
"신호수 교육 강화 및 업무 표준화, 자재 유도 작업 시 안전 절차 준수 의무화 및 감독 체계 구축.",작업 전 신호수 교육 실시와 무리한 자재 유도 작업 금지를 포함한 수시점검을 통한 재발 방지 대책 마련.
"안전 교육 강화 및 정기적인 건강 검진 실시로 재발 방지 대책을 마련하고, 작업 전 스트레칭과 안전 점검 절차를 의무화하여 향후 조치 계획을 수립합니다.",작업 전 충분한 스트레칭과 무리한 작업 행동 금지의 필요성.
"안전교육 강화와 작업 절차 개선을 통한 재발 방지 대책을 마련하고, 모든 천공작업 시 기계 고정 상태 점검 의무화 및 안전 스위치 조작 교육을 실시하며, 작업 중 발생 가능한 위험 요소에 대한 정기적인 안전 점검을 실시할 계획입니다.",유사 공종 작업 시 고정 안전띠 착용 및 특별 교육 실시와 사고사례 매뉴얼 제작 후 교육 실시 예정.
자재 적재물 고임목 장치의 안전성 점검 강화 및 정기적인 유지보수 실시를 통해 재발 방지. 작업자 교육 강화로 적재물 관리의 중요성 인식 제고.,자재 관리 철저와 근로자 특별 안전 교육 실시.
"근로자 스트레칭 교육 강화 및 작업 중 관리감독자의 정기적인 현장 점검 실시를 통해 예방하고, 향후 작업 중 안전 수칙 준수 여부를 정기적으로 점검하며 개선사항을 신속히 반영합니다.",근로자 근골격계질환 예방 프로그램 이행과 작업 시 관리감독자의 건강상태 수시 확인을 통한 피해 근로자 치료 확인 및 재발 방지를 위한 특별교육 시행.
"작업 시작 전 충분한 휴식 시간 확보 및 집중력 향상 교육 실시, 작업 시간 관리 강화를 통한 주의력 유지 모니터링 계획 수립.",계단 미끄럼방지 조치와 추가적인 현장 조사 예정.
"안전 교육 강화와 철근 적재 지침 엄격히 준수하도록 조치하며, 실시간 모니터링 시스템 도입으로 적재 상태 지속 점검합니다.","기초철근 조립 시 상부 철근 과적 금지, 받침철근 조립 개선, 기능공 특별 교육 및 수시 교육 강화, 작업 시 직원 안전관리 강화."
"작업자 교육 강화로 안전한 자재 적재 및 운반 방법 숙지,  계단 턱 높이에 따른 적절한 자재 운반 높이 제한 설정, 현장 감독 강화를 통한 안전 위반 사항 즉시 시정 조치 실시.","무리한 중량 자재 적재 운반 금지, 경사 및 골조 턱 부위 발판 고정, 피해자 치료 회복 확인, 안전 교육 실시, 현장 위해 요소 점검 및 제거."
재발 방지를 위해 개구부에 안전 경계 설치 및 작업자에게 개구부 주의 교육 실시. 향후 정기적인 안전 점검과 위험 요소 식별 시스템 구축 계획 수립.,발빠짐 우려 구간 비작업시 폐쇄 조치와 사고 발생 후 일주일 후 병원 재검진 결과를 토대로 작업자 의견을 최대한 수렴하는 조치 계획.
"안전 교육 강화와 현장 감독 체계 개선을 통해 장비 운용 안전 절차 준수를 확보하고, 사고 발생 시 신속한 대응 체계 구축 및 재발 방지를 위한 정기적 안전 점검 실시.",상수도관로 철거작업과 현장 작업자들의 안전관리에 대한 철저한 주의와 관리.
지정된 이동통로 사용 의무화 교육 강화 및 정기적 점검 실시를 포함한 재발 방지 대책 마련.,사고사례 전파교육 및 관리감독 철저와 지정된 이동통로 통행교육을 통한 재발 방지 대책 수립.
"낙석 방지망 보강 작업 후 이동 경로 명확히 표시하고, 안전 발판 설치하며 정기적인 안전 교육 실시.","낙석방지망 보강작업에 따른 작업자의 해당 지역 출입 및 이동 금지, 현장 이동간 주의, 현장 내 넘어짐 요인 발견 및 즉시 제거, TBM 시 사고사례 전파 및 주의사항 통보 및 지시."
"작업자 안전 교육 강화와 판넬 운반 시 안전장비 착용 의무화를 통해 재발 방지 대책을 마련하고, 향후 작업 전 안전 점검 절차를 엄격히 시행할 계획입니다.","작업자 교욕, 밀림 방지를 위한 청소 및 자재 정리와 공사 전 안전 교육 실시, 작업자의 무리한 시공 금지, 충돌 및 넘어짐 방지를 위한 현장 정리로 인한 재발 방지 대책 마련."
안전 발판 설치 의무화 및 정기적인 안전 교육 강화로 재발 방지. 향후 모든 고층 해체 작업 시 안전 발판 사용 의무화 및 사고 대응 훈련 실시 예정.,사고 조사 완료 후 수립 예정인 재발 방지 대책과 사고 발생 요인 파악 결과에 따른 안전조치 및 재발 방지 교육.
"안전 교육 강화 및 실시간 모니터링 시스템 도입으로 재발 방지 대책을 마련하고, 정기적인 안전 점검과 피드백 시스템 구축을 통해 향후 조치 계획을 실행합니다.",TBM 시 사고 사례 전파 및 이동 시 주의 교육 실시와 산업재해조사표 제출 및 휴식 중 재해로 요양급여 처리 예정.
전방주시 강화 교육과 철근자재의 안전한 배치 지침 마련으로 재발 방지.,자재구획 설정 및 정리정돈과 작업자들에게 작업방법 교육 및 숙지의 실행.
작업 전 안전 교육 강화 및 정기적인 위험 요소 점검 실시.,작업 투입 전 코팅 장갑 착용 확인 및 관리 감독과 안전교육 및 2차 사고 방지 안내 실시.
작업 표준 작업 지침서 보완 및 정기적인 훈련 실시.,"작업 방법 개선, 사고사례 공유 및 사고조사 후 수립된 사고 재발 방지 조치 이행."
"노후 자재 교체 및 철저한 안전장비 착용 점검 강화, 작업 시 2인 1조 원칙 엄격히 준수하며 안전장비 착용 의무화 교육 실시.","노후된 자재 반입 지양, 착용에 불편이 없는 보안경 지급, 동인선상 2인 이상 작업 금지, TBM 시 보호구 착용에 대한 근로자 교육 강화, 재해자 치료에 대한 지속적인 관리."
"안전 교육 강화와 장비 점검 절차 엄격히 시행하며, 작업 전 안전 검토를 의무화하여 재발 방지.","장비운전기사의 적정 자격 소지 여부 확인과 장비에 대한 철저한 안전 점검, 부상자에 대한 진료 지속 및 사고 장비에 대한 보상 협의 처리 필요."
작업 순서 준수 교육 강화와 작업 감독 체계 개선을 통해 재발 방지 대책을 마련합니다.,일일 해체작업구간 지정 후 안전작업 절차에 따른 진행과 작업순서 및 방법 교육 강화를 포함한 재발 방지 대책과 공사 재개 시 재발 방지 대책 및 향후 작업계획 수립이 필요함.
향후 작업 시 안전장비 착용 의무화 및 경사지 작업 시 추가적인 안전 매트 설치를 통해 미끄러짐 위험 감소. 정기적인 안전 교육 실시로 작업자 인식 제고.,안전교육 및 안전관리의 철저함.
불티방지포 즉시 제거 및 정리 체계 강화와 정기적인 작업장 점검 실시로 재발 방지 대책 마련.,자재운반 시 이동통로 정리정돈 및 운반도구 이용 방법 변경에 따른 관리 확인.
"안전 발판 설치와 정기적인 안전 교육 강화를 통해 재발 방지 대책을 마련하고, 향후 운반 장비의 미끄럼 방지 장치 점검을 의무화하여 조치 계획을 수립합니다.",안전교육 및 안전관리 철저.
작업자에게 안전한 제거 방법 교육 강화 및 보호장구 착용 의무화 조치 실시.,재발 방지를 위한 작업자 안전교육 실시 및 안전수칙 준수 철저.
"작업 중 템포 조절 교육 실시와 함께 안전 거리 확보 지침 마련 및 정기적인 안전 점검 강화를 통해 재발 방지 대책을 마련하고, 향후 조치로는 사고 발생 시 즉시 작업 중단 및 상세 조사 실시 후 개선 방안을 반영할 계획입니다.",TBM 시 위험성 평가 전달 교육 및 특별 안전 교육 실시와 해당 작업의 세부적인 위험 요인 도출 및 안전 대책 수립.
추락방지망과 안전로프의 크레인 간섭 방지 장치 설치 및 정기적인 안전 점검 강화.,"단부구간 작업 시 안전로프와 추락방지망의 임의 해체 지양, 안전벨트 착용 및 안전고리 체결 철저."
사고 사례 공유와 함께 미끄러짐 방지를 위한 미끄럼 방지 신발 착용 의무화 및 정기적인 안전 교육 실시,"작업자 안전사고 예방을 위한 철저한 안전교육 실시와 작업안전 인식 재고, 주기적 현장 안전관리 감독."
"안전 교육 강화와 경사로 안전 장치 설치를 통해 재발 방지를 도모하고, 정기적인 안전 점검과 부상자 지원 체계를 유지합니다.","관리감독자 상주 및 안전교육 강화, 현장 작업이동로 경사 완화 조치와 재해자 진단결과 7주의 치료를 요함에 따라 산재보험으로 처리하는 조치 계획."
"사고 원인 불명확 시, 유사 사고 예방을 위한 정기적인 안전 교육 강화와 작업 전 철저한 현장 점검 실시로 위험 요소 사전 식별 및 제거를 통해 재발 방지에 주력.",사고 원인 규명 후 방지대책 마련.
부주의 재발 방지를 위해 작업 전 안전 교육 강화와 실시간 모니터링 시스템 도입을 계획합니다. 향후 모든 마감작업 시 개인 안전 장비 착용 의무화 및 정기적인 안전 점검 실시합니다.,재발 방지 대책과 향후 조치 계획.
작업자 안전 교육 강화 및 안전 절차 준수 점검 실시.,"전 근로자 보안경 지급 및 안전모 부착, TBM 시 사고사례 전파, 비산물 발생 작업 시 관리감독 강화와 함께 21.11.11일 현장조사 후 사고보고서 작성 및 30일 이내 재해조사표 작성 및 제출 예정."
"안전교육 강화와 함께 작업 공간의 장애물 제거 및 안전 표시 설치를 통해 재발 방지 대책을 마련하고, 정기적인 안전 점검을 실시하여 위험 요소를 사전에 식별하고 제거할 계획입니다.",위험 요인 제거와 해체 완료를 통한 재발 방지 대책 및 향후 조치 계획.
"작업자 안전 교육 강화 및 안전장비 착용 의무화를 통해 재발 방지하고, 정기적인 안전 점검 실시 계획 수립.",안전 교육 및 현장 정리를 통한 현장 관리 강화.
안전 교육 강화와 함께 고정핀 설계 개선 및 안전 거리 확보 지침 마련을 통해 재발 방지. 정기적인 안전 점검 실시 예정.,"코핑케이지 고정핀 접촉 방지판 설치와 케이지 상승 하강 시 돌출 여부 확인 관리 철저, 타워크레인 재설치 완료 및 동일 기종 타워크레인 설치, 해체, 인상 시 사고 원인 관련 근로자 특별 교육과 사고 재발 방지 대책 이행 여부 특별 관리 실시."
보안경 일체형 안전모 지급 의무화 및 정기적인 안전 교육 강화를 통해 보안경 착용 의식 제고.,작업 중 보안경 등 보호장구 착용 상태 관리 및 감독을 위한 안전보건 교육 실시.
작업자 교육 강화와 안전 점검 절차 개선을 통한 재발 방지 대책 및 향후 조치 계획 수립.,근로자 교육을 통한 재발 방지 대책.
안전 교육 강화와 정기적인 안전 점검 실시를 통해 안전 수칙 준수를 확보하고 재발 방지에 나설 것입니다.,"개인 안전보호구 착용 여부 지도 점검 및 교육, 비계 등 안전시설물 설치 시 작업 책임자의 확인 및 검측이 이루어질 수 있도록 현장 안전관리 철저 지시와 도급사 유가족 협의 절차 등 후속 조치 예정."
자재 정리 절차 강화 및 정기적인 안전 점검 실시로 재발 방지 대책 마련. 향후에는 작업자들에게 체계적인 정리 교육 제공 예정.,"현장 정리 철저, 작업자 교육 및 충분한 휴식을 통한 재발 방지와 공사장 관리 철저 지도의 실행."
안전 교육 강화 및 안전 장비 점검 의무화 실시.,본 사업 시공중지 및 현장 안전시설 설치를 포함한 재발 방지를 위한 안전시설 설치 계획 수립과 사고조사 마무리 후 공사 재개를 위한 조치 계획.
"작업 중 미끄러짐 위험을 인지하고 주의하도록 교육하며, 바닥에 놓인 위험물(스치로폼 포함)을 즉시 제거하는 절차를 마련하는 것이 재발 방지 대책 및 향후 조치 계획입니다.",현장 주변 정리 및 작업자 안전교육 실시.
신호수 배치 의무화 및 전방주시 강화 교육 실시를 통한 재발 방지 대책 및 향후 조치 계획 수립.,현장 내 위험요인을 정기교육 및 TBM시간 근로자들에게 전파교육 실시하는 재발 방지 대책과 향후 조치 계획.
"안전 교육 강화와 정기적인 안전 점검 실시를 통해 작업자의 부주의를 방지하고, 개인 보호 장비 착용 의무화를 통해 재발 방지를 도모합니다. 또한, 사고 발생 시 신속한 응급 처치 시스템 구축과 사후 안전 분석 회의를 통해 유사 사고 예방 방안을 마련합니다.","작업자 안전 교육 실시와 충분한 휴식 보장을 통한 재발 방지 대책 및 산재보험료 적용과 통원 치료를 포함한 재해자 기본 보장과 현장 작업 안전 준수 교육, 사전 작업 안전 교육 실시를 통한 향후 조치 계획."
안전 교육 강화 및 표준 작업 절차 준수 의무화.,"유해 위험 기계 기구 취급 작업 전 특별 안전 교육 실시와 핸드 그라인더 절단에서 산소 절단으로 작업 방법 변경, 해당 작업 공종 근로자를 대상으로 특별 안전 교육 실시 및 안전한 작업 방법 강구와 안전 순찰 강화로 동종 및 유사 재해 방지."
"안전교육 강화와 정기적인 장비 점검 실시, 작업 감독 강화 및 안전 프로토콜 준수 확인.","안전활동 강화, 가설물 점검 및 점검표 부착, 잭서포트 시설물 점검 및 전도예방조치 완료, 해당 협력업체 위험성 평가 실시 및 해당내용에 대한 위험성 평가 반영."
안전 교육 강화와 작업 절차 준수 점검 실시.,아침 조회 및 정기안전보건교육을 통한 작업의 순서 및 안전한 작업 방법 교육과 현장상주 관리감독을 통한 근로자 사고 발생 방지와 현장 감독 철저.
발판 표면 미끄럼 방지 처리 강화 및 작업자에게 안전장구 착용 의무화 교육 실시. 정기적인 안전 점검을 통해 위험 요소 조기 발견 및 개선 조치 취하기.,안전교육 실시와 현장 정리 정돈 철저를 통한 재발 방지 대책.
"재발 방지를 위해 신호수 지시 준수 교육 강화 및 현장 감독 체계 개선을 실시하며, 향후 정기적인 안전 점검과 근로자 안전 의식 제고 프로그램을 도입합니다.",안전교육 실시를 통한 재발 방지 및 향후 조치 계획.
안전 교육 강화 및 작업장 안전 표시 설치,근로자 이동통로 바닥정리 및 이동시 지정된 통로 이동 교육과 고령근로자 유연성 운동(스트레칭) 시행 및 고령자용 넘어짐 예방 안전화 제공.
안전 교육 강화 및 작업 현장 안전 점검 주기 단축 실시.,"산업안전보건기준에 관한 규칙 제3조 ""전도의 방지"" 준수와 위험성 평가 반영을 통한 아차사고(끼임, 걸려 넘어짐, 부딪힘) 발생 예방을 위한 중점 및 지속 관리."
안전 교육 강화와 정기적인 현장 안전 점검 실시로 부주의 사고 예방.,작업자 교육과 안전 관리의 철저함을 통한 사고 방지.
"작업 전 안전 교육 강화와 공구 점검 절차 엄격히 시행하며, 정기적인 공구 상태 점검 및 교체 정책 도입.",작업 전 건설공구류 정비상태 확인 및 안전교육 실시.
작업자 안전 교육 강화 및 이동 경로 안전 점검 정기화 실시.,현장 유해성평가 실시.
자재 전달 시 명확한 신호 체계 도입 및 전달 확인 절차 강화를 통해 재발 방지. 정기적인 안전 교육 실시로 주의 의식 제고.,"사고사례 전파 및 자재 운반교육 시행, 인력으로 자재 전달 시 신호 철저, 상대 근로자가 자재를 잡은 것을 철저히 확인하는 조치."
안전교육 강화 및 개구부 안전 덮개 설치 의무화.,"출입금지구역 접근금지 철저, 이동시 안전통로 이용, 추락위험작업시 접근금지 조치 및 식별 표시 철저."
매설작업 중 장비 안정성 점검 강화 및 안전 교육을 통한 작업자 인식 제고 실시.,"굴삭기 버켓 탑승 금지, 정기교육 및 TBM을 통한 사고사례 전파, 현장관리자 및 근로자 안전교육 실시와 재발 방지 대책 작성으로 사고 예방을 위한 조치 계획."
"안전 바닥재 설치 및 정기적인 미끄러짐 위험 점검을 실시하며, 작업자들에게 미끄러짐 예방 교육을 강화합니다.","현장 안전조치 이행, 미끄러짐 주의 경고표지 부착, 사고사례 전파 교육 및 행정안내를 통한 재발 방지 대책 마련."
안전 교육 강화와 정기적인 안전 점검 실시로 미끄러짐 위험 감소 및 개인 보호 장비 착용 의무화.,근로자 교육을 통한 재발 방지 대책 및 향후 조치 계획.
안전 교육 강화 및 실시간 모니터링 시스템 도입을 통한 재발 방지 대책 및 향후 조치 계획 수립.,작업전 안전교육 실시
운반작업 시 안전장비 착용 의무화 및 고소작업대 안전 절차 준수 강화를 통한 재발 방지 대책과 함께 해당 건설현장 작업 중지 및 관련 기관의 조사 실시 후 고용노동부 조사 결과에 따른 안전 교육 강화 및 안전 점검 체계 개선을 포함한 향후 조치 계획 수립.,해당 위험요소에 대한 안전교육 시행과 자재 운반작업 시 2인 1조 진행.
"안전 교육 강화와 작업 현장 안전 점검 체계 구축을 통한 재발 방지 대책을 마련하고, 정기적인 안전 점검 및 위험 요소 신고 시스템 도입으로 향후 조치 계획을 실행합니다.",경찰서 및 고용노동부 조사 결과에 따른 조치 예정.
게이트 작동 전 안전 점검 강화 및 작업자에게 안전 교육 실시하여 철재물 낙하 위험 인지 제고.,안전교육 철저와 입원 중 경과보고 후 통원치료 예정(2주 진단)에 따른 조치 계획.
"안전 교육 강화와 함께 작업 공간의 명확한 경계 설정 및 안전 장비 사용 의무화를 실시합니다. 또한, 중장비 운용자와 작업자 간의 원활한 소통 체계 구축을 통해 위험 상황을 미리 인지하고 대응할 수 있도록 합니다.",작업자들 간의 상호소통과 안전관리 철저를 통한 재발 방지 대책.
"작업 전 안전 교육 강화 및 적절한 장비 사용 의무화를 통해 재발 방지 대책을 마련하고, 향후 모든 설치 작업 시 전문 장비 활용을 의무화할 계획입니다.",안전교육 실시와 주변 위험요소 확인을 통한 재발 방지 대책.
"작업 표준화 및 안전 절차 강화를 통해 운반작업 중 중량물 고정 상태를 엄격히 관리하고, 작업자 교육을 강화하여 안전한 작업 방법 준수를 확보합니다. 또한, 정기적인 안전 점검과 개선 사항 반영을 통해 사고 예방 체계를 구축합니다.",중량물 취급교육 실시와 중량물 이동 시 작업반경 내 근로자 출입 금지 관리 철저.
"천막 설치 시 시야 확보를 위한 적절한 간격 유지 및 경고 표시 설치, 작업자들에게 안전 교육 강화하여 위험 요소 인지 향상, 정기적인 안전 점검 실시로 위험 요소 조기 발견 및 개선.",안전수칙 준수 및 공사장 안전관리 철저를 위한 행정지도
경력 부족 근로자에 대한 추가 안전 교육 및 감독 강화 계획 수립.,"작업 전 팀별 안전사고 TBM 강화와 안전교육 실시, 전 근로자 대상 사고 사례 전파를 통한 동종 사고 예방."
안전 교육 강화와 함께 작업 시 개인 보호 장비 착용 의무화 및 안전 통로 확보를 통해 재발 방지 대책을 마련합니다. 정기적인 안전 점검과 위험 요소 식별 훈련을 실시합니다.,"손에 자재를 들고 이동 시 안전주의사항 특별교육 실시와 작업 전 스트레칭을 통한 근육 이완, 행정처분 결과 통지 및 해당 공종 특별교육 실시."
작업 표준화 및 안전 점검 강화를 위한 정기적인 안전 교육 실시와 유로폼 해체 시 안전 절차 준수 의무화를 통한 재발 방지 대책 마련.,재해사례 전파 및 특별안전교육 실시와 건축관계자에 대한 안전교육 행정지도 및 공사현장 내 사고유발 요인 제거를 통한 재발 방지 대책 마련.
버팀목 설치 시 미끄럼 방지 재질 사용 의무화 및 작업자 안전 교육 강화.,사고사례 전파와 재발방지 안전교육 실시를 통한 재발 방지 대책 마련.
"안전 교육 강화 및 개인 보호 장비 사용 의무화를 통해 재발 방지 대책을 마련하고, 사고 조사 결과를 고용노동부에 제출하여 향후 유사 사고 예방을 위한 지침을 마련합니다.",근로자 보안경 착용과 작업자 안전교육 실시를 통한 재발 방지 대책.
"안전교육 강화와 함께 가설 계단의 안정성 점검 및 개선을 실시하고, 필요한 경우 추가 안전 발판 설치를 통해 작업자의 안전을 보장합니다. 정기적인 현장 안전 점검을 통해 위험 요소를 사전에 식별하고 관리합니다.","사고원인 파악, 근로자 안전교육 및 사고사례 전파, 동종 재해 예방교육 실시와 안전한 작업 방법에 대한 교육, 현장 관리감독 강화로 인한 재발 방지 대책 마련."
안전 교육 강화 및 크레인 운용 절차 엄격히 준수하도록 현장 감독 강화.,이동식 크레인 작업 시 안전주의와 안전교육 철저를 통한 사고 재발 방지.
